transaction_date,year_transacted,month_transacted,town,is_mature,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,remaining_years,remaining_months,remaining_whole,resale_price
2017-01,2017,1,ANG MO KIO,Y,4 ROOM,588C,ANG MO KIO ST 52,13 TO 15,90,DBSS,2011,93 years 08 months,93,8,93.67,688000
2017-01,2017,1,ANG MO KIO,Y,4 ROOM,588D,ANG MO KIO ST 52,19 TO 21,91,DBSS,2011,93 years 07 months,93,7,93.58,730000
2017-01,2017,1,ANG MO KIO,Y,4 ROOM,588D,ANG MO KIO ST 52,22 TO 24,91,DBSS,2011,93 years 07 months,93,7,93.58,756000
2017-01,2017,1,ANG MO KIO,Y,5 ROOM,588A,ANG MO KIO ST 52,10 TO 12,112,DBSS,2011,93 years 07 months,93,7,93.58,770000
2017-01,2017,1,ANG MO KIO,Y,5 ROOM,310A,ANG MO KIO AVE 1,10 TO 12,121,Improved,2012,94 years 08 months,94,8,94.67,832000
2017-01,2017,1,BEDOK,Y,4 ROOM,220B,BEDOK CTRL,10 TO 12,97,Model A,2010,92 years 04 months,92,4,92.33,671000
2017-01,2017,1,BEDOK,Y,5 ROOM,219C,BEDOK CTRL,13 TO 15,112,Improved,2010,92 years 04 months,92,4,92.33,795000
2017-01,2017,1,BISHAN,Y,4 ROOM,275A,BISHAN ST 24,34 TO 36,95,DBSS,2011,93 years 07 months,93,7,93.58,808000
2017-01,2017,1,BISHAN,Y,5 ROOM,275A,BISHAN ST 24,04 TO 06,120,DBSS,2011,93 years 08 months,93,8,93.67,830000
2017-01,2017,1,BUKIT MERAH,Y,3 ROOM,80C,TELOK BLANGAH ST 31,13 TO 15,68,Premium Apartment,2013,95 years 07 months,95,7,95.58,580000
2017-01,2017,1,BUKIT MERAH,Y,3 ROOM,54,HAVELOCK RD,22 TO 24,69,Model A,2013,95 years 04 months,95,4,95.33,650000
2017-01,2017,1,BUKIT MERAH,Y,4 ROOM,80A,TELOK BLANGAH ST 31,04 TO 06,95,Premium Apartment,2013,95 years 08 months,95,8,95.67,648000
2017-01,2017,1,BUKIT MERAH,Y,4 ROOM,80A,TELOK BLANGAH ST 31,04 TO 06,95,Premium Apartment,2013,95 years 07 months,95,7,95.58,680000
2017-01,2017,1,BUKIT MERAH,Y,4 ROOM,80A,TELOK BLANGAH ST 31,04 TO 06,95,Premium Apartment,2013,95 years 07 months,95,7,95.58,688000
2017-01,2017,1,BUKIT MERAH,Y,4 ROOM,27A,JLN MEMBINA,04 TO 06,90,Model A,2008,90 years 11 months,90,11,90.92,690000
2017-01,2017,1,BUKIT MERAH,Y,4 ROOM,27A,JLN MEMBINA,13 TO 15,85,Model A,2008,90 years 11 months,90,11,90.92,735000
2017-01,2017,1,BUKIT MERAH,Y,4 ROOM,27A,JLN MEMBINA,22 TO 24,85,Model A,2008,90 years 11 months,90,11,90.92,748000
2017-01,2017,1,BUKIT MERAH,Y,4 ROOM,57,HAVELOCK RD,28 TO 30,89,Model A,2013,95 years 04 months,95,4,95.33,790000
2017-01,2017,1,BUKIT MERAH,Y,4 ROOM,80A,TELOK BLANGAH ST 31,28 TO 30,95,Premium Apartment,2013,95 years 07 months,95,7,95.58,865000
2017-01,2017,1,BUKIT PANJANG,N,3 ROOM,458,SEGAR RD,13 TO 15,68,Premium Apartment,2012,94 years 10 months,94,10,94.83,325000
2017-01,2017,1,BUKIT PANJANG,N,4 ROOM,455,SEGAR RD,07 TO 09,93,Premium Apartment,2012,94 years 10 months,94,10,94.83,410000
2017-01,2017,1,CENTRAL AREA,Y,4 ROOM,1C,CANTONMENT RD,04 TO 06,93,Type S1,2011,93 years,93,0,93,788000
2017-01,2017,1,CENTRAL AREA,Y,4 ROOM,1F,CANTONMENT RD,04 TO 06,95,Type S1,2011,93 years,93,0,93,818000
2017-01,2017,1,CENTRAL AREA,Y,4 ROOM,1F,CANTONMENT RD,37 TO 39,95,Type S1,2011,93 years,93,0,93,903000
2017-01,2017,1,CENTRAL AREA,Y,5 ROOM,1B,CANTONMENT RD,49 TO 51,105,Type S2,2011,93 years,93,0,93,1108000
2017-01,2017,1,CLEMENTI,Y,3 ROOM,418,CLEMENTI AVE 1,13 TO 15,70,Model A,2013,95 years 08 months,95,8,95.67,528000
2017-01,2017,1,HOUGANG,N,2 ROOM,986A,BUANGKOK CRES,10 TO 12,47,Model A,2012,94 years 04 months,94,4,94.33,252000
2017-01,2017,1,JURONG EAST,N,4 ROOM,22,TEBAN GDNS RD,19 TO 21,92,Model A,2013,95 years 09 months,95,9,95.75,450000
2017-01,2017,1,JURONG EAST,N,4 ROOM,22,TEBAN GDNS RD,25 TO 27,92,Model A,2013,95 years 08 months,95,8,95.67,475000
2017-01,2017,1,JURONG WEST,N,2 ROOM,990A,JURONG WEST ST 93,01 TO 03,56,Premium Apartment,2008,90 years 07 months,90,7,90.58,240000
2017-01,2017,1,JURONG WEST,N,2 ROOM,990B,JURONG WEST ST 93,07 TO 09,52,Premium Apartment,2008,90 years 07 months,90,7,90.58,258000
2017-01,2017,1,JURONG WEST,N,4 ROOM,988A,JURONG WEST ST 93,01 TO 03,94,Premium Apartment,2008,90 years 08 months,90,8,90.67,400000
2017-01,2017,1,JURONG WEST,N,4 ROOM,337A,TAH CHING RD,19 TO 21,92,Model A,2010,92 years 03 months,92,3,92.25,470000
2017-01,2017,1,JURONG WEST,N,4 ROOM,337A,TAH CHING RD,19 TO 21,92,Model A,2010,92 years 03 months,92,3,92.25,470000
2017-01,2017,1,JURONG WEST,N,5 ROOM,676B,JURONG WEST ST 64,04 TO 06,110,Premium Apartment,2008,90 years 05 months,90,5,90.42,436888
2017-01,2017,1,JURONG WEST,N,5 ROOM,988A,JURONG WEST ST 93,04 TO 06,110,Premium Apartment,2008,90 years 07 months,90,7,90.58,460000
2017-01,2017,1,JURONG WEST,N,5 ROOM,675B,JURONG WEST ST 64,10 TO 12,110,Premium Apartment,2008,90 years 06 months,90,6,90.5,466000
2017-01,2017,1,KALLANG/WHAMPOA,Y,3 ROOM,5A,UPP BOON KENG RD,10 TO 12,67,Model A,2012,94 years 04 months,94,4,94.33,495000
2017-01,2017,1,KALLANG/WHAMPOA,Y,4 ROOM,38C,BENDEMEER RD,07 TO 09,89,Model A,2012,94 years 04 months,94,4,94.33,610000
2017-01,2017,1,KALLANG/WHAMPOA,Y,4 ROOM,38D,BENDEMEER RD,16 TO 18,89,Model A,2012,94 years 04 months,94,4,94.33,686000
2017-01,2017,1,KALLANG/WHAMPOA,Y,5 ROOM,9,BOON KENG RD,04 TO 06,115,DBSS,2011,93 years 11 months,93,11,93.92,858000
2017-01,2017,1,KALLANG/WHAMPOA,Y,5 ROOM,7,BOON KENG RD,25 TO 27,119,DBSS,2011,93 years,93,0,93,1005000
2017-01,2017,1,PUNGGOL,N,4 ROOM,614A,EDGEFIELD PLAINS,01 TO 03,92,Model A,2012,95 years,95,0,95,408000
2017-01,2017,1,PUNGGOL,N,4 ROOM,168B,PUNGGOL EAST,10 TO 12,92,Premium Apartment,2009,91 years 02 months,91,2,91.17,415000
2017-01,2017,1,PUNGGOL,N,4 ROOM,270A,PUNGGOL FIELD,01 TO 03,97,Premium Apartment,2013,95 years,95,0,95,415000
2017-01,2017,1,PUNGGOL,N,4 ROOM,613A,PUNGGOL DR,01 TO 03,93,Model A,2012,94 years 11 months,94,11,94.92,422800
2017-01,2017,1,PUNGGOL,N,4 ROOM,615B,EDGEFIELD PLAINS,04 TO 06,92,Model A,2012,94 years 11 months,94,11,94.92,424000
2017-01,2017,1,PUNGGOL,N,4 ROOM,602A,PUNGGOL CTRL,04 TO 06,93,Model A,2012,94 years 06 months,94,6,94.5,430000
2017-01,2017,1,PUNGGOL,N,4 ROOM,613D,PUNGGOL DR,07 TO 09,93,Model A,2012,94 years 11 months,94,11,94.92,438000
2017-01,2017,1,PUNGGOL,N,4 ROOM,269C,PUNGGOL FIELD,04 TO 06,93,Premium Apartment,2013,95 years,95,0,95,439988
2017-01,2017,1,PUNGGOL,N,4 ROOM,601A,PUNGGOL CTRL,07 TO 09,93,Model A,2012,94 years 06 months,94,6,94.5,440000
2017-01,2017,1,PUNGGOL,N,4 ROOM,614B,EDGEFIELD PLAINS,16 TO 18,97,Model A,2012,94 years 11 months,94,11,94.92,468000
2017-01,2017,1,PUNGGOL,N,4 ROOM,601C,PUNGGOL CTRL,13 TO 15,94,Model A,2012,94 years 07 months,94,7,94.58,470000
2017-01,2017,1,PUNGGOL,N,4 ROOM,268D,PUNGGOL FIELD,13 TO 15,93,Premium Apartment,2013,95 years 01 month,95,1,95.08,485000
2017-01,2017,1,PUNGGOL,N,4 ROOM,305D,PUNGGOL DR,04 TO 06,93,Premium Apartment,2012,94 years 06 months,94,6,94.5,500000
2017-01,2017,1,PUNGGOL,N,4 ROOM,270A,PUNGGOL FIELD,01 TO 03,97,Premium Apartment,2013,95 years,95,0,95,508000
2017-01,2017,1,PUNGGOL,N,4 ROOM,289B,PUNGGOL PL,10 TO 12,99,Premium Apartment,2013,95 years 02 months,95,2,95.17,510000
2017-01,2017,1,PUNGGOL,N,4 ROOM,289B,PUNGGOL PL,13 TO 15,98,Premium Apartment,2013,95 years 02 months,95,2,95.17,518000
2017-01,2017,1,PUNGGOL,N,4 ROOM,289A,PUNGGOL PL,07 TO 09,98,Premium Apartment,2013,95 years 02 months,95,2,95.17,520000
2017-01,2017,1,PUNGGOL,N,4 ROOM,268D,PUNGGOL FIELD,13 TO 15,99,Premium Apartment,2013,95 years,95,0,95,525000
2017-01,2017,1,PUNGGOL,N,4 ROOM,274C,PUNGGOL PL,07 TO 09,93,Premium Apartment,2013,95 years 06 months,95,6,95.5,530000
2017-01,2017,1,PUNGGOL,N,4 ROOM,269B,PUNGGOL FIELD,13 TO 15,97,Premium Apartment,2013,95 years,95,0,95,538000
2017-01,2017,1,PUNGGOL,N,4 ROOM,302A,PUNGGOL PL,13 TO 15,93,Premium Apartment,2011,93 years 02 months,93,2,93.17,550000
2017-01,2017,1,PUNGGOL,N,4 ROOM,614B,EDGEFIELD PLAINS,16 TO 18,97,Model A,2012,94 years 11 months,94,11,94.92,468000
2017-01,2017,1,PUNGGOL,N,4 ROOM,601C,PUNGGOL CTRL,13 TO 15,94,Model A,2012,94 years 07 months,94,7,94.58,470000
2017-01,2017,1,PUNGGOL,N,5 ROOM,617C,PUNGGOL DR,07 TO 09,113,Premium Apartment,2013,95 years 08 months,95,8,95.67,498888
2017-01,2017,1,PUNGGOL,N,5 ROOM,617B,PUNGGOL DR,07 TO 09,118,Premium Apartment,2013,95 years 08 months,95,8,95.67,518888
2017-01,2017,1,PUNGGOL,N,5 ROOM,617C,PUNGGOL DR,16 TO 18,118,Premium Apartment,2013,95 years 08 months,95,8,95.67,558000
2017-01,2017,1,PUNGGOL,N,5 ROOM,270B,PUNGGOL FIELD,04 TO 06,116,Premium Apartment,2013,95 years 01 month,95,1,95.08,580000
2017-01,2017,1,PUNGGOL,N,5 ROOM,273C,PUNGGOL PL,10 TO 12,114,Premium Apartment,2013,95 years 06 months,95,6,95.5,598000
2017-01,2017,1,PUNGGOL,N,5 ROOM,268A,PUNGGOL FIELD,07 TO 09,113,Premium Apartment,2013,95 years,95,0,95,600000
2017-01,2017,1,PUNGGOL,N,5 ROOM,267B,PUNGGOL FIELD,01 TO 03,115,Premium Apartment,2013,95 years,95,0,95,608000
2017-01,2017,1,PUNGGOL,N,5 ROOM,270C,PUNGGOL FIELD,13 TO 15,113,Premium Apartment,2013,95 years,95,0,95,630000
2017-01,2017,1,QUEENSTOWN,Y,4 ROOM,23,GHIM MOH LINK,28 TO 30,92,Model A,2013,95 years 03 months,95,3,95.25,705000
2017-01,2017,1,SEMBAWANG,N,4 ROOM,489,ADMIRALTY LINK,04 TO 06,96,Model A,2010,92 years 07 months,92,7,92.58,363000
2017-01,2017,1,SENGKANG,N,2 ROOM,441B,FERNVALE RD,19 TO 21,50,Model A,2012,94 years 02 months,94,2,94.17,273000
2017-01,2017,1,SENGKANG,N,3 ROOM,441A,FERNVALE RD,10 TO 12,69,Model A,2012,94 years 01 month,94,1,94.08,342000
2017-01,2017,1,SENGKANG,N,3 ROOM,445B,FERNVALE RD,10 TO 12,67,Model A,2012,94 years 10 months,94,10,94.83,345000
2017-01,2017,1,SENGKANG,N,3 ROOM,445A,FERNVALE RD,13 TO 15,67,Model A,2012,94 years 10 months,94,10,94.83,348000
2017-01,2017,1,SENGKANG,N,3 ROOM,211D,COMPASSVALE LANE,10 TO 12,68,Model A,2013,95 years 01 month,95,1,95.08,360000
2017-01,2017,1,SENGKANG,N,3 ROOM,211C,COMPASSVALE LANE,16 TO 18,68,Model A,2013,95 years 02 months,95,2,95.17,365000
2017-01,2017,1,SENGKANG,N,4 ROOM,211A,COMPASSVALE LANE,01 TO 03,93,Model A,2013,95 years 01 month,95,1,95.08,390000
2017-01,2017,1,SENGKANG,N,4 ROOM,446C,JLN KAYU,04 TO 06,93,Model A,2013,95 years 10 months,95,10,95.83,393888
2017-01,2017,1,SENGKANG,N,4 ROOM,208A,COMPASSVALE LANE,13 TO 15,92,Model A,2011,93 years 10 months,93,10,93.83,415000
2017-01,2017,1,SENGKANG,N,4 ROOM,434A,FERNVALE RD,10 TO 12,94,Premium Apartment,2013,95 years 05 months,95,5,95.42,420000
2017-01,2017,1,SENGKANG,N,4 ROOM,211A,COMPASSVALE LANE,04 TO 06,93,Model A,2013,95 years 02 months,95,2,95.17,421000
2017-01,2017,1,SENGKANG,N,4 ROOM,410B,FERNVALE RD,13 TO 15,95,Premium Apartment,2012,94 years 10 months,94,10,94.83,422000
2017-01,2017,1,SENGKANG,N,4 ROOM,441A,FERNVALE RD,16 TO 18,92,Model A,2012,94 years 01 month,94,1,94.08,428000
2017-01,2017,1,SENGKANG,N,4 ROOM,445B,FERNVALE RD,07 TO 09,94,Model A,2012,94 years 10 months,94,10,94.83,430000
2017-01,2017,1,SENGKANG,N,4 ROOM,210C,COMPASSVALE LANE,04 TO 06,93,Model A,2013,95 years 01 month,95,1,95.08,430000
2017-01,2017,1,SENGKANG,N,4 ROOM,211A,COMPASSVALE LANE,13 TO 15,95,Model A,2013,95 years 01 month,95,1,95.08,435000
2017-01,2017,1,SENGKANG,N,4 ROOM,213B,COMPASSVALE LANE,10 TO 12,98,Premium Apartment,2012,94 years 09 months,94,9,94.75,435000
2017-01,2017,1,SENGKANG,N,4 ROOM,436B,FERNVALE RD,16 TO 18,96,Model A,2010,92 years 02 months,92,2,92.17,439888
2017-01,2017,1,SENGKANG,N,4 ROOM,411B,FERNVALE RD,25 TO 27,96,Premium Apartment,2012,94 years 10 months,94,10,94.83,440000
2017-01,2017,1,SENGKANG,N,4 ROOM,212B,COMPASSVALE DR,16 TO 18,100,Premium Apartment,2012,94 years 09 months,94,9,94.75,445000
2017-01,2017,1,SENGKANG,N,4 ROOM,213B,COMPASSVALE LANE,07 TO 09,95,Premium Apartment,2012,94 years 09 months,94,9,94.75,445000
2017-01,2017,1,SENGKANG,N,4 ROOM,211D,COMPASSVALE LANE,10 TO 12,93,Model A,2013,95 years 01 month,95,1,95.08,450000
2017-01,2017,1,SENGKANG,N,4 ROOM,211D,COMPASSVALE LANE,13 TO 15,95,Model A,2013,95 years 01 month,95,1,95.08,450000
2017-01,2017,1,SENGKANG,N,4 ROOM,210A,COMPASSVALE LANE,04 TO 06,93,Model A,2013,95 years 01 month,95,1,95.08,455000
2017-01,2017,1,SENGKANG,N,4 ROOM,264E,COMPASSVALE BOW,10 TO 12,92,Premium Apartment,2008,90 years 04 months,90,4,90.33,475000
2017-01,2017,1,SENGKANG,N,4 ROOM,272D,SENGKANG CTRL,04 TO 06,90,Premium Apartment,2009,91 years 11 months,91,11,91.92,483000
2017-01,2017,1,SENGKANG,N,4 ROOM,272B,SENGKANG CTRL,07 TO 09,90,Premium Apartment,2009,91 years 11 months,91,11,91.92,490000
2017-01,2017,1,SENGKANG,N,4 ROOM,271C,SENGKANG CTRL,04 TO 06,93,Premium Apartment,2010,92 years 04 months,92,4,92.33,495000
2017-01,2017,1,SENGKANG,N,4 ROOM,275B,COMPASSVALE LINK,07 TO 09,90,Premium Apartment,2009,91 years 07 months,91,7,91.58,530000
2017-01,2017,1,SENGKANG,N,4 ROOM,273D,COMPASSVALE LINK,16 TO 18,90,Premium Apartment,2009,91 years 07 months,91,7,91.58,555000
2017-01,2017,1,SENGKANG,N,5 ROOM,435A,FERNVALE RD,07 TO 09,113,Premium Apartment,2013,95 years 05 months,95,5,95.42,515000
2017-01,2017,1,TAMPINES,Y,2 ROOM,299A,TAMPINES ST 22,01 TO 03,45,Model A,2012,94 years 02 months,94,2,94.17,250000
2017-01,2017,1,TAMPINES,Y,3 ROOM,299A,TAMPINES ST 22,07 TO 09,65,Model A,2012,94 years 02 months,94,2,94.17,355000
2017-01,2017,1,TAMPINES,Y,5 ROOM,518A,TAMPINES CTRL 7,10 TO 12,109,DBSS,2008,90 years 11 months,90,11,90.92,730000
2017-01,2017,1,TAMPINES,Y,5 ROOM,518B,TAMPINES CTRL 7,13 TO 15,114,DBSS,2008,90 years,90,0,90,730000
2017-01,2017,1,TOA PAYOH,Y,4 ROOM,79E,TOA PAYOH CTRL,37 TO 39,75,Model A,2009,91 years 03 months,91,3,91.25,700000
2017-01,2017,1,TOA PAYOH,Y,4 ROOM,79C,TOA PAYOH CTRL,16 TO 18,91,Model A,2009,91 years 03 months,91,3,91.25,748000
2017-01,2017,1,YISHUN,N,2 ROOM,451,YISHUN RING RD,04 TO 06,47,Model A,2012,94 years 08 months,94,8,94.67,235000
2017-01,2017,1,YISHUN,N,3 ROOM,454,YISHUN ST 41,07 TO 09,67,Model A,2013,95 years 07 months,95,7,95.58,315000
2017-01,2017,1,YISHUN,N,3 ROOM,454,YISHUN ST 41,07 TO 09,67,Model A,2013,95 years 07 months,95,7,95.58,317000
2017-01,2017,1,YISHUN,N,4 ROOM,443,YISHUN AVE 11,01 TO 03,92,Model A,2012,94 years 06 months,94,6,94.5,378000
2017-01,2017,1,YISHUN,N,4 ROOM,450,YISHUN RING RD,04 TO 06,92,Model A,2012,94 years 07 months,94,7,94.58,400000
2017-01,2017,1,YISHUN,N,4 ROOM,454,YISHUN ST 41,07 TO 09,93,Model A,2013,95 years 07 months,95,7,95.58,410000
2017-01,2017,1,YISHUN,N,4 ROOM,449,YISHUN RING RD,04 TO 06,96,Model A,2012,94 years 07 months,94,7,94.58,416000
2017-02,2017,2,ANG MO KIO,Y,3 ROOM,308B,ANG MO KIO AVE 1,04 TO 06,70,Model A,2012,94 years 07 months,94,7,94.58,405000
2017-02,2017,2,ANG MO KIO,Y,3 ROOM,310C,ANG MO KIO AVE 1,04 TO 06,70,Model A,2012,94 years 08 months,94,8,94.67,495000
2017-02,2017,2,BEDOK,Y,3 ROOM,219D,BEDOK CTRL,04 TO 06,69,Model A,2010,92 years 03 months,92,3,92.25,425000
2017-02,2017,2,BISHAN,Y,4 ROOM,273A,BISHAN ST 24,13 TO 15,95,DBSS,2011,93 years 06 months,93,6,93.5,765000
2017-02,2017,2,BISHAN,Y,4 ROOM,275A,BISHAN ST 24,22 TO 24,95,DBSS,2011,93 years 07 months,93,7,93.58,788888
2017-02,2017,2,BISHAN,Y,4 ROOM,273A,BISHAN ST 24,25 TO 27,95,DBSS,2011,93 years 07 months,93,7,93.58,790000
2017-02,2017,2,BISHAN,Y,5 ROOM,275A,BISHAN ST 24,01 TO 03,120,DBSS,2011,93 years 07 months,93,7,93.58,840000
2017-02,2017,2,BISHAN,Y,5 ROOM,273B,BISHAN ST 24,01 TO 03,120,DBSS,2011,93 years 07 months,93,7,93.58,890000
2017-02,2017,2,BISHAN,Y,5 ROOM,273B,BISHAN ST 24,40 TO 42,120,DBSS,2011,93 years 07 months,93,7,93.58,1180000
2017-02,2017,2,BUKIT MERAH,Y,3 ROOM,80C,TELOK BLANGAH ST 31,34 TO 36,68,Premium Apartment,2013,95 years 06 months,95,6,95.5,570000
2017-02,2017,2,BUKIT MERAH,Y,3 ROOM,57,HAVELOCK RD,22 TO 24,69,Model A,2013,95 years 03 months,95,3,95.25,583000
2017-02,2017,2,BUKIT MERAH,Y,4 ROOM,52,HAVELOCK RD,31 TO 33,89,Model A,2013,95 years 03 months,95,3,95.25,795888
2017-02,2017,2,BUKIT MERAH,Y,5 ROOM,56,HAVELOCK RD,01 TO 03,114,Improved,2013,95 years 03 months,95,3,95.25,840000
2017-02,2017,2,BUKIT MERAH,Y,5 ROOM,56,HAVELOCK RD,19 TO 21,115,Improved,2013,95 years 03 months,95,3,95.25,955000
2017-02,2017,2,BUKIT MERAH,Y,5 ROOM,53,HAVELOCK RD,34 TO 36,114,Improved,2013,95 years 03 months,95,3,95.25,980000
2017-02,2017,2,BUKIT PANJANG,N,4 ROOM,458,SEGAR RD,07 TO 09,93,Premium Apartment,2012,94 years 09 months,94,9,94.75,412000
2017-02,2017,2,BUKIT PANJANG,N,4 ROOM,458,SEGAR RD,10 TO 12,93,Premium Apartment,2012,94 years 09 months,94,9,94.75,413000
2017-02,2017,2,BUKIT PANJANG,N,4 ROOM,455,SEGAR RD,13 TO 15,93,Premium Apartment,2012,94 years 09 months,94,9,94.75,423000
2017-02,2017,2,CENTRAL AREA,Y,4 ROOM,1E,CANTONMENT RD,04 TO 06,93,Type S1,2011,92 years 11 months,92,11,92.92,793000
2017-02,2017,2,CENTRAL AREA,Y,4 ROOM,1D,CANTONMENT RD,07 TO 09,95,Type S1,2011,92 years 11 months,92,11,92.92,805000
2017-02,2017,2,CENTRAL AREA,Y,4 ROOM,1C,CANTONMENT RD,04 TO 06,96,Type S1,2011,92 years 11 months,92,11,92.92,825000
2017-02,2017,2,CENTRAL AREA,Y,4 ROOM,1E,CANTONMENT RD,10 TO 12,93,Type S1,2011,92 years 11 months,92,11,92.92,835000
2017-02,2017,2,CHOA CHU KANG,N,4 ROOM,476B,CHOA CHU KANG AVE 5,10 TO 12,92,Model A,2013,95 years 05 months,95,5,95.42,400000
2017-02,2017,2,CHOA CHU KANG,N,4 ROOM,476C,CHOA CHU KANG AVE 5,13 TO 15,92,Model A,2013,95 years 05 months,95,5,95.42,403300
2017-02,2017,2,CLEMENTI,Y,4 ROOM,418,CLEMENTI AVE 1,04 TO 06,100,Model A,2013,95 years 07 months,95,7,95.58,678000
2017-02,2017,2,HOUGANG,N,3 ROOM,986A,BUANGKOK CRES,10 TO 12,67,Model A,2012,94 years 04 months,94,4,94.33,315000
2017-02,2017,2,HOUGANG,N,3 ROOM,986A,BUANGKOK CRES,10 TO 12,67,Model A,2012,94 years 03 months,94,3,94.25,325000
2017-02,2017,2,HOUGANG,N,3 ROOM,986B,BUANGKOK CRES,10 TO 12,67,Model A,2012,94 years 04 months,94,4,94.33,330000
2017-02,2017,2,JURONG EAST,N,2 ROOM,23,TEBAN GDNS RD,25 TO 27,47,Model A,2013,95 years 08 months,95,8,95.67,230000
2017-02,2017,2,JURONG EAST,N,4 ROOM,21,TEBAN GDNS RD,25 TO 27,92,Model A,2013,95 years 07 months,95,7,95.58,460000
2017-02,2017,2,JURONG WEST,N,4 ROOM,676A,JURONG WEST ST 64,10 TO 12,91,Premium Apartment,2008,90 years 04 months,90,4,90.33,395000
2017-02,2017,2,JURONG WEST,N,5 ROOM,676A,JURONG WEST ST 64,10 TO 12,110,Premium Apartment,2008,90 years 04 months,90,4,90.33,465000
2017-02,2017,2,JURONG WEST,N,5 ROOM,678C,JURONG WEST ST 64,16 TO 18,110,Premium Apartment,2008,90 years 04 months,90,4,90.33,475000
2017-02,2017,2,JURONG WEST,N,5 ROOM,988C,JURONG WEST ST 93,13 TO 15,114,Premium Apartment,2008,90 years 06 months,90,6,90.5,500000
2017-02,2017,2,JURONG WEST,N,5 ROOM,988C,JURONG WEST ST 93,13 TO 15,110,Premium Apartment,2008,90 years 06 months,90,6,90.5,510000
2017-02,2017,2,JURONG WEST,N,5 ROOM,989C,JURONG WEST ST 93,07 TO 09,110,Premium Apartment,2008,90 years 06 months,90,6,90.5,515000
2017-02,2017,2,KALLANG/WHAMPOA,Y,4 ROOM,38A,BENDEMEER RD,01 TO 03,92,Model A,2012,94 years 03 months,94,3,94.25,638000
2017-02,2017,2,KALLANG/WHAMPOA,Y,4 ROOM,38D,BENDEMEER RD,13 TO 15,89,Model A,2012,94 years 03 months,94,3,94.25,655000
2017-02,2017,2,KALLANG/WHAMPOA,Y,5 ROOM,8,BOON KENG RD,40 TO 42,107,DBSS,2011,92 years,92,0,92,910000
2017-02,2017,2,PUNGGOL,N,4 ROOM,604B,PUNGGOL RD,01 TO 03,92,Model A,2012,94 years 07 months,94,7,94.58,368000
2017-02,2017,2,PUNGGOL,N,4 ROOM,603B,PUNGGOL RD,01 TO 03,93,Model A,2012,94 years 07 months,94,7,94.58,400000
2017-02,2017,2,PUNGGOL,N,4 ROOM,268C,PUNGGOL FIELD,01 TO 03,93,Premium Apartment,2013,94 years 11 months,94,11,94.92,408000
2017-02,2017,2,PUNGGOL,N,4 ROOM,601C,PUNGGOL CTRL,04 TO 06,93,Model A,2012,94 years 05 months,94,5,94.42,418000
2017-02,2017,2,PUNGGOL,N,4 ROOM,603B,PUNGGOL RD,07 TO 09,93,Model A,2012,94 years 08 months,94,8,94.67,426000
2017-02,2017,2,PUNGGOL,N,4 ROOM,270A,PUNGGOL FIELD,01 TO 03,93,Premium Apartment,2013,94 years 11 months,94,11,94.92,426500
2017-02,2017,2,PUNGGOL,N,4 ROOM,613A,PUNGGOL DR,07 TO 09,93,Model A,2012,94 years 10 months,94,10,94.83,430000
2017-02,2017,2,PUNGGOL,N,4 ROOM,613C,PUNGGOL DR,07 TO 09,93,Model A,2012,94 years 10 months,94,10,94.83,438000
2017-02,2017,2,PUNGGOL,N,4 ROOM,617D,PUNGGOL DR,13 TO 15,95,Premium Apartment,2013,95 years 07 months,95,7,95.58,440800
2017-02,2017,2,PUNGGOL,N,4 ROOM,615A,EDGEFIELD PLAINS,13 TO 15,92,Model A,2012,94 years 10 months,94,10,94.83,445000
2017-02,2017,2,PUNGGOL,N,4 ROOM,612D,PUNGGOL DR,10 TO 12,93,Model A,2012,94 years 10 months,94,10,94.83,445000
2017-02,2017,2,PUNGGOL,N,4 ROOM,268C,PUNGGOL FIELD,07 TO 09,93,Premium Apartment,2013,94 years 11 months,94,11,94.92,465000
2017-02,2017,2,PUNGGOL,N,4 ROOM,268C,PUNGGOL FIELD,04 TO 06,97,Premium Apartment,2013,94 years 11 months,94,11,94.92,475888
2017-02,2017,2,PUNGGOL,N,4 ROOM,267A,PUNGGOL FIELD,07 TO 09,97,Premium Apartment,2013,94 years 11 months,94,11,94.92,478000
2017-02,2017,2,PUNGGOL,N,4 ROOM,270B,PUNGGOL FIELD,04 TO 06,93,Premium Apartment,2013,94 years 11 months,94,11,94.92,480000
2017-02,2017,2,PUNGGOL,N,4 ROOM,268D,PUNGGOL FIELD,04 TO 06,99,Premium Apartment,2013,94 years 11 months,94,11,94.92,483000
2017-02,2017,2,PUNGGOL,N,4 ROOM,269C,PUNGGOL FIELD,07 TO 09,93,Premium Apartment,2013,94 years 11 months,94,11,94.92,490000
2017-02,2017,2,PUNGGOL,N,4 ROOM,305A,PUNGGOL RD,07 TO 09,95,Premium Apartment,2012,94 years 05 months,94,5,94.42,493000
2017-02,2017,2,PUNGGOL,N,4 ROOM,303B,PUNGGOL CTRL,10 TO 12,94,Premium Apartment,2010,92 years 05 months,92,5,92.42,495000
2017-02,2017,2,PUNGGOL,N,4 ROOM,615A,EDGEFIELD PLAINS,16 TO 18,92,Model A,2012,94 years 10 months,94,10,94.83,498000
